A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
4.66	0.501	4.94	0.00065	0.002189	24.37	0.00065	1
7.6	-0.516	-7.48	3e-05	0.000168	55.9	3e-05	-1
1.41	-0.324	-0.86	0.41156	0.496229	0.74	0.41156	0
6.96	-0.302	-4.27	0.00176	0.004996	18.24	0.00176	-1
0.63	1.45	5.25	0.00042	0.001518	27.52	0.00042	1
0.62	0.193	0.68	0.51152	0.591414	0.46	0.51152	0
7.05	-0.319	-4.16	0.00208	0.005742	17.34	0.00208	-1
4.42	-0.929	-9.21	0	4.5e-05	84.76	0	-1
3.87	0.803	4.33	0.00161	0.004644	18.73	0.00161	1
1.63	-0.227	-1.17	0.27059	0.349428	1.37	0.27059	0
3.1	1.064	6.61	7e-05	0.00037	43.7	7e-05	1
1.79	0.106	0.47	0.64995	0.714969	0.22	0.64995	0
3.63	0.017	0.13	0.89588	0.919299	0.02	0.89588	0
5	-0.416	-3.46	0.00645	0.014809	11.95	0.00645	-1
-0.07	0.019	0.07	0.94244	0.955871	0.01	0.94244	0
5.3	0.309	3.24	0.00928	0.020068	10.48	0.00928	1
7.98	0.134	1.31	0.22061	0.294175	1.71	0.22061	0
1.9	-1.049	-5.37	0.00035	0.001317	28.87	0.00035	-1
4.55	-0.264	-2.75	0.02117	0.040456	7.55	0.02117	-1
3.86	-1.758	-14.86	0	2e-06	220.96	0	-1
3.22	0.328	2	0.07442	0.117353	4	0.07442	0
